Date,Monthly Total Precipitation (in),Monthly Average Mean Temperature (degF),Monthly Total Snowfall (in),City
1996-05,1.8,48.69,0,Juneau
1996-06,6.22,54.05,0,Juneau
1996-07,3.16,57.73,0,Juneau
1996-08,7.91,54.71,0,Juneau
1996-09,10.68,48.85,0,Juneau
1996-10,6.2,40.13,0.5,Juneau
1996-11,2.75,31.27,2.5,Juneau
1996-12,4.73,26.47,4.6,Juneau
1997-01,2.73,26.06,12.3,Juneau
1997-02,8.17,35.27,17.3,Juneau
1997-03,3.91,31.47,19.2,Juneau
1997-04,4.41,41.45,0.4,Juneau
1997-05,3.25,51.45,0,Juneau
1997-06,3.51,56.57,0,Juneau
1997-07,10.36,58.19,0,Juneau
1997-08,3.93,58.84,0,Juneau
1997-09,8.26,53.25,0,Juneau
1997-10,7.85,41.35,1.9,Juneau
1997-11,4.63,37.28,1.2,Juneau
1997-12,13.61,36.68,14.9,Juneau
1998-01,2.54,24.47,12.9,Juneau
1998-02,1.9,37.09,0.5,Juneau
1998-03,3.71,34.94,4.2,Juneau
1998-04,3.12,42.42,,Juneau
1998-05,2.21,50.05,,Juneau
1998-06,2.5,55.85,0,Juneau
1998-07,4.95,57.48,0,Juneau
1998-08,6.8,54.16,0,Juneau
1998-09,6.17,49.33,0,Juneau
1998-10,12.13,42.77,,Juneau
1998-11,1.72,33.12,6.4,Juneau
1998-12,5.45,27.9,22.8,Juneau
1999-01,8.14,26.55,53.1,Juneau
1999-02,2.66,28.57,34.2,Juneau
1999-03,2.58,33.13,7.3,Juneau
1999-04,7.48,39.48,1.1,Juneau
1999-05,5.69,44.82,,Juneau
1999-06,2.69,53.8,0,Juneau
1999-07,4.1,57.39,0,Juneau
1999-08,6.77,56.32,0,Juneau
1999-09,10.62,49.65,0,Juneau
1999-10,12.19,43.5,,Juneau
1999-11,5.77,36.13,5.1,Juneau
1999-12,10.3,35.84,19.9,Juneau
2000-01,4.82,26.52,13.6,Juneau
2000-02,1.56,31.64,4.6,Juneau
2000-03,5.75,36.31,,Juneau
2000-04,4.4,39.7,,Juneau
2000-05,3.25,46.94,0,Juneau
2000-06,5.72,52.98,0,Juneau
2000-07,6.65,55.26,0,Juneau
2000-08,6.12,54.4,0,Juneau
2000-09,10.05,48.97,,Juneau
2000-10,10.11,41.87,2.3,Juneau
2000-11,6.37,37.65,1,Juneau
2000-12,4.17,31.18,2.3,Juneau
2001-01,7.43,36.61,7.6,Juneau
2001-02,4.4,28.18,14.9,Juneau
2001-03,3.33,33.39,0.6,Juneau
2001-04,2.19,40.27,,Juneau
2001-05,5.19,45.15,,Juneau
2001-06,1.65,54.13,0,Juneau
2001-07,7.26,55.37,0,Juneau
2001-08,3.66,57.15,0,Juneau
2001-09,8.37,50.28,0,Juneau
2001-10,7.8,41.92,3.4,Juneau
2001-11,3.62,32.85,3.1,Juneau
2001-12,4.49,28.95,25.5,Juneau
2002-01,3.28,30.55,18.9,Juneau
2002-02,5.62,30.75,28.9,Juneau
2002-03,1.33,28.23,2.5,Juneau
2002-04,0.47,36.27,,Juneau
2002-05,2.37,47.05,0,Juneau
2002-06,3.4,54.77,0,Juneau
2002-07,4.72,54.55,0,Juneau
2002-08,10.5,54.37,0,Juneau
2002-09,6.08,49.57,0,Juneau
2002-10,10.69,44.31,0,Juneau
2002-11,7.95,40.03,0,Juneau
2002-12,5.86,31.9,17.7,Juneau
2003-01,5.68,31.55,15.3,Juneau
2003-02,1.44,31.66,6.2,Juneau
2003-03,3.56,30.5,17.7,Juneau
2003-04,0.86,41.73,,Juneau
2003-05,2.9,46.79,0,Juneau
2003-06,3.74,53.7,0,Juneau
2003-07,3.44,58.03,0,Juneau
2003-08,4.53,54.89,0,Juneau
2003-09,11.41,48.77,0,Juneau
2003-10,4.44,43.32,0,Juneau
2003-11,6.21,30.52,24.9,Juneau
2003-12,5.92,31.81,11.9,Juneau
2004-01,5.89,25.24,34.2,Juneau
2004-02,5.66,35.47,2.8,Juneau
2004-03,5.59,34.68,18.5,Juneau
2004-04,4.43,40.97,,Juneau
2004-05,0.84,51.68,0,Juneau
2004-06,1.3,57.97,0,Juneau
2004-07,3.54,59.53,0,Juneau
2004-08,2.51,59.39,0,Juneau
2004-09,9.23,48.8,0,Juneau
2004-10,7.18,41.21,,Juneau
2004-11,8.38,36.83,1.9,Juneau
2004-12,10.67,32.1,10.8,Juneau
2005-01,5.9,25.24,46.7,Juneau
2005-02,6.12,30.7,16.6,Juneau
2005-03,4.18,37.45,1,Juneau
2005-04,2.94,43.95,1.6,Juneau
2005-05,0.89,52.73,0,Juneau
2005-06,3,56.05,0,Juneau
2005-07,5.25,56.24,0,Juneau
2005-08,6.58,57.16,0,Juneau
2005-09,9.92,51.07,0,Juneau
2005-10,9.12,41.63,0,Juneau
2005-11,13.38,35.48,8.3,Juneau
2005-12,6.74,33.66,4.6,Juneau
2006-01,2.93,29.44,30.8,Juneau
2006-02,2.07,28.46,3.2,Juneau
2006-03,1.55,27.74,6.9,Juneau
2006-04,4.24,38.95,0.5,Juneau
2006-05,4.56,47.77,,Juneau
2006-06,5.93,54.47,0,Juneau
2006-07,4.43,56.29,0,Juneau
2006-08,11.02,53.03,0,Juneau
2006-09,13.01,49.95,0,Juneau
2006-10,11.78,42.24,,Juneau
2006-11,3.4,19.37,64.2,Juneau
2006-12,9.37,34.31,25.4,Juneau
2007-01,6.25,31.03,27.5,Juneau
2007-02,3,25.11,10.6,Juneau
2007-03,4.81,28.37,62.7,Juneau
2007-04,2.99,38.62,0,Juneau
2007-05,4.27,46.74,0,Juneau
2007-06,1.85,54.33,0,Juneau
2007-07,6.71,56.63,0,Juneau
2007-08,2.35,56.5,0,Juneau
2007-09,9.09,49.73,0,Juneau
2007-10,11.67,41.98,0,Juneau
2007-11,3.15,34.92,4.5,Juneau
2007-12,3.75,27.37,12.6,Juneau
2008-01,4.91,26,22.9,Juneau
2008-02,4.92,27.9,43.9,Juneau
2008-03,4,35.11,13.5,Juneau
2008-04,4.79,38.3,13.7,Juneau
2008-05,3.87,48.02,,Juneau
2008-06,1.68,50.88,0,Juneau
2008-07,8.25,53.23,0,Juneau
2008-08,5.33,53.81,0,Juneau
2008-09,10.84,49.53,0,Juneau
2008-10,15.05,41.1,4.6,Juneau
2008-11,5.89,35.32,3.8,Juneau
2008-12,3.92,22.24,32.7,Juneau
2009-01,9.38,25.77,75.2,Juneau
2009-02,3.89,27.05,30.4,Juneau
2009-03,2.95,28.5,31.3,Juneau
2009-04,2.17,39.17,2.2,Juneau
2009-05,2.67,48.06,0,Juneau
2009-06,2.83,54.87,0,Juneau
2009-07,2.35,59.92,0,Juneau
2009-08,7.3,55.84,0,Juneau
2009-09,8.92,49.78,0,Juneau
2009-10,5.65,42.63,0.2,Juneau
2009-11,7.2,34.98,19.8,Juneau
2009-12,3.95,27.9,8.9,Juneau
2010-01,4.79,29.61,20.4,Juneau
2010-02,1.53,36.34,0.4,Juneau
2010-03,6.16,36.6,12.6,Juneau
2010-04,3.08,41.88,3.3,Juneau
2010-05,1.25,50.73,,Juneau
2010-06,4.05,53.85,0,Juneau
2010-07,3.86,54.85,0,Juneau
2010-08,4.3,56.81,0,Juneau
2010-09,6.24,50.9,0,Juneau
2010-10,8.84,42.74,0,Juneau
2010-11,7.87,34.68,7.7,Juneau
2010-12,1.9,23.08,20.1,Juneau
2011-01,5.26,28.16,15.5,Juneau
2011-02,5.65,25.18,30.2,Juneau
2011-03,1.28,28.79,4.6,Juneau
2011-04,1.83,39.08,0.3,Juneau
2011-05,2.82,48.21,0,Juneau
2011-06,4.5,53.93,0,Juneau
2011-07,3.51,55.94,0,Juneau
2011-08,10.72,53.05,0,Juneau
2011-09,8.58,48.83,0,Juneau
2011-10,7.39,42.16,,Juneau
2011-11,7.68,29.67,49,Juneau
2011-12,7.44,33.71,14.5,Juneau
2012-01,6.43,26.89,48.6,Juneau
2012-02,3.1,33.71,4.8,Juneau
2012-03,2.82,33.05,14.6,Juneau
2012-04,1.68,41.75,0,Juneau
2012-05,5.73,44.74,,Juneau
2012-06,6.69,51.65,0,Juneau
2012-07,5.37,54.92,0,Juneau
2012-08,7.59,54.58,0,Juneau
2012-09,11.02,49.57,0,Juneau
2012-10,3.5,38.5,1.4,Juneau
2012-11,4.59,29.72,15.4,Juneau
2012-12,4.92,23.77,26.7,Juneau
2013-01,7.7,31.31,18.2,Juneau
2013-02,6.61,35.52,1.4,Juneau
2013-03,2.36,29.74,8.3,Juneau
2013-04,6.37,36.1,12.1,Juneau
2013-05,5.33,47.98,,Juneau
2013-06,3.19,57.87,0,Juneau
2013-07,4.45,57.6,0,Juneau
2013-08,4.9,57.87,0,Juneau
2013-09,7.53,51.88,0,Juneau
2013-10,10.09,44.68,,Juneau
2013-11,6.69,30.42,19.2,Juneau
2013-12,8.52,27.61,40.4,Juneau
2014-01,10.15,36.56,4.7,Juneau
2014-02,1.98,23.89,26.8,Juneau
2014-03,3.45,31.48,6,Juneau
2014-04,2.67,41,0.3,Juneau
2014-05,1.67,52.16,0,Juneau
2014-06,7.48,53.02,0,Juneau
2014-07,8.26,57.39,0,Juneau
2014-08,8.53,56.76,0,Juneau
2014-09,9.31,51.73,,Juneau
2014-10,7.46,43.82,0,Juneau
2014-11,4.44,34.83,9.8,Juneau
2014-12,3.29,33.4,3.5,Juneau
2015-01,11.98,35.13,15.1,Juneau
2015-02,3.62,31.86,10.3,Juneau
2015-03,4.52,37.06,9.9,Juneau
2015-04,7.18,41.87,,Juneau
2015-05,0.52,54.06,0,Juneau
2015-06,4.66,57.03,0,Juneau
2015-07,10.4,57.58,0,Juneau
2015-08,8.92,56.66,0,Juneau
2015-09,11.51,49.15,0,Juneau
2015-10,7.21,44.56,,Juneau
2015-11,12.02,36.07,16.6,Juneau
2015-12,2.42,31.97,16.3,Juneau
2016-01,6.53,34.85,,Juneau
2016-02,3.26,37.59,2,Juneau
2016-03,2.17,39.89,,Juneau
2016-04,5.16,44.85,,Juneau
2016-05,5.67,51.79,,Juneau
2016-06,3.48,56.47,0,Juneau
2016-07,4.28,59.71,0,Juneau
2016-08,5.97,58.55,0,Juneau
2016-09,11.64,51.2,0,Juneau
2016-10,2.59,40.23,5.7,Juneau
2016-11,6.55,37.02,2.7,Juneau
2016-12,6.73,25.74,16.8,Juneau
2017-01,6.27,29.76,3.7,Juneau
2017-02,4.31,30.07,4.1,Juneau
2017-03,4.44,27.44,32.2,Juneau
2017-04,1.96,42.95,,Juneau
2017-05,5.19,49.1,,Juneau
2017-06,3.86,53.32,0,Juneau
2017-07,7.04,55.45,0,Juneau
2017-08,8.46,56.9,0,Juneau
2017-09,8.3,51.28,0,Juneau
2017-10,9.33,41.48,0,Juneau
2017-11,2.34,27.17,25.5,Juneau
2017-12,8.07,31.26,1.3,Juneau
2018-01,5.7,28.66,14.9,Juneau
2018-02,2.35,23.09,16.2,Juneau
2018-03,2.53,32.16,19.4,Juneau
2018-04,3.15,39.93,0,Juneau
2018-05,5.27,49.05,0,Juneau
2018-06,3.07,55.1,0,Juneau
2018-07,2.82,61.21,0,Juneau
2018-08,7.01,57.53,0,Juneau
2018-09,2.28,49.92,0,Juneau
2018-10,10.42,45.47,0,Juneau
2018-11,5.59,38.5,3.2,Juneau
2018-12,5.63,33.27,10.1,Juneau
2019-01,7.81,29.68,23.8,Juneau
2019-02,1.89,24.14,13.1,Juneau
2019-03,2.19,37.85,0.3,Juneau
2019-04,3.01,42.43,0.1,Juneau
2019-05,2.8,51.5,0,Juneau
2019-06,3.54,56.97,0,Juneau
2019-07,2.13,60.71,0,Juneau
2019-08,4.81,58.31,0,Juneau
2019-09,6.78,51.65,0,Juneau
2019-10,8.05,41.44,0,Juneau
2019-11,9.93,38.5,0.9,Juneau
2019-12,7.51,36.79,4.7,Juneau
2020-01,4.81,25.94,29.4,Juneau
2020-02,7.78,33.88,32.8,Juneau
2020-03,2.82,31.18,5.5,Juneau
2020-04,5.07,39.75,,Juneau
2020-05,2.05,51.32,0,Juneau
2020-06,7.3,53.38,0,Juneau
2020-07,5.71,57.81,0,Juneau
2020-08,10.26,55,0,Juneau
2020-09,5.01,50.87,0,Juneau
2020-10,7.13,41.44,0.7,Juneau
2020-11,7.01,31.15,14.8,Juneau
2020-12,12.74,36.48,8.3,Juneau
2021-01,6.21,33.85,8.6,Juneau
2021-02,5.24,25.8,21.1,Juneau
2021-03,6.38,32.79,33.6,Juneau
2021-04,5.15,40.02,10.3,Juneau
2021-05,6.91,47.61,0,Juneau
2021-06,6.38,56.27,0,Juneau
2021-07,2.55,58.84,0,Juneau
2021-08,8.62,57.02,0,Juneau
2021-09,9.95,50.57,0,Juneau
2021-10,9.67,41.37,0,Juneau
2021-11,6.6,34.75,31.4,Juneau
2021-12,2.87,21.29,32,Juneau
2022-01,12.29,28.98,22.7,Juneau
2022-02,10.53,34.34,21.9,Juneau
2022-03,5.66,36.74,5.2,Juneau
2022-04,3.44,39,0.2,Juneau
2022-05,2.78,48.47,,Juneau
2022-06,3.1,57.27,0,Juneau
2022-07,6.98,58.05,0,Juneau
2022-08,9.05,58.1,0,Juneau
2022-09,11.66,51.97,0,Juneau
2022-10,13.11,45.92,0.1,Juneau
2022-11,6.24,32.22,6.5,Juneau
2022-12,3.47,25.42,8.5,Juneau
2023-01,6.74,34.65,5.7,Juneau
2023-02,4.6,29.89,46.5,Juneau
2023-03,2.75,30.65,13.6,Juneau
2023-04,4.7,40.62,0.8,Juneau
2023-05,4.54,49.55,0,Juneau
2023-06,4.48,54.83,0,Juneau
2023-07,1.79,60.39,0,Juneau
2023-08,5.47,58.58,0,Juneau
2023-09,13.64,50.87,0,Juneau
2023-10,9.69,43.42,0,Juneau
2023-11,8.03,38.45,6.5,Juneau
2023-12,10.58,35.92,13.2,Juneau
2024-01,9.68,28.11,76.8,Juneau
1940-01,,,,Anchorage
1940-02,,,,Anchorage
1940-03,,,,Anchorage
1940-04,,,,Anchorage
1940-05,,,,Anchorage
1940-06,,,,Anchorage
1940-07,,,,Anchorage
1940-08,,,,Anchorage
1940-09,,,,Anchorage
1940-10,,,,Anchorage
1940-11,,,,Anchorage
1940-12,,,,Anchorage
1941-01,,,,Anchorage
1941-02,,,,Anchorage
1941-03,,,,Anchorage
1941-04,,,,Anchorage
1941-05,,,,Anchorage
1941-06,,,,Anchorage
1941-07,,,,Anchorage
1941-08,,,,Anchorage
1941-09,,,,Anchorage
1941-10,,,,Anchorage
1941-11,,,,Anchorage
1941-12,,,,Anchorage
1942-01,,,,Anchorage
1942-02,,,,Anchorage
1942-03,,,,Anchorage
1942-04,,,,Anchorage
1942-05,,,,Anchorage
1942-06,,,,Anchorage
1942-07,,,,Anchorage
1942-08,,,,Anchorage
1942-09,,,,Anchorage
1942-10,,,,Anchorage
1942-11,,,,Anchorage
1942-12,,,,Anchorage
1943-01,,,,Anchorage
1943-02,,,,Anchorage
1943-03,,,,Anchorage
1943-04,,,,Anchorage
1943-05,,,,Anchorage
1943-06,,,,Anchorage
1943-07,,,,Anchorage
1943-08,,,,Anchorage
1943-09,,,,Anchorage
1943-10,,,,Anchorage
1943-11,,,,Anchorage
1943-12,,,,Anchorage
1944-01,,,,Anchorage
1944-02,,,,Anchorage
1944-03,,,,Anchorage
1944-04,,,,Anchorage
1944-05,,,,Anchorage
1944-06,,,,Anchorage
1944-07,,,,Anchorage
1944-08,,,,Anchorage
1944-09,,,,Anchorage
1944-10,,,,Anchorage
1944-11,,,,Anchorage
1944-12,,,,Anchorage
1945-01,,,,Anchorage
1945-02,,,,Anchorage
1945-03,,,,Anchorage
1945-04,,,,Anchorage
1945-05,,,,Anchorage
1945-06,,,,Anchorage
1945-07,,,,Anchorage
1945-08,,,,Anchorage
1945-09,,,,Anchorage
1945-10,,,,Anchorage
1945-11,,,,Anchorage
1945-12,,,,Anchorage
1946-01,,,,Anchorage
1946-02,,,,Anchorage
1946-03,,,,Anchorage
1946-04,,,,Anchorage
1946-05,,,,Anchorage
1946-06,,,,Anchorage
1946-07,,,,Anchorage
1946-08,,,,Anchorage
1946-09,,,,Anchorage
1946-10,,,,Anchorage
1946-11,,,,Anchorage
1946-12,,,,Anchorage
1947-01,,,,Anchorage
1947-02,,,,Anchorage
1947-03,,,,Anchorage
1947-04,,,,Anchorage
1947-05,,,,Anchorage
1947-06,,,,Anchorage
1947-07,,,,Anchorage
1947-08,,,,Anchorage
1947-09,,,,Anchorage
1947-10,,,,Anchorage
1947-11,,,,Anchorage
1947-12,,,,Anchorage
1948-01,,,,Anchorage
1948-02,,,,Anchorage
1948-03,,,,Anchorage
1948-04,,,,Anchorage
1948-05,,,,Anchorage
1948-06,,,,Anchorage
1948-07,,,,Anchorage
1948-08,,,,Anchorage
1948-09,,,,Anchorage
1948-10,,,,Anchorage
1948-11,,,,Anchorage
1948-12,,,,Anchorage
1949-01,,,,Anchorage
1949-02,,,,Anchorage
1949-03,,,,Anchorage
1949-04,,,,Anchorage
1949-05,,,,Anchorage
1949-06,,,,Anchorage
1949-07,,,,Anchorage
1949-08,,,,Anchorage
1949-09,,,,Anchorage
1949-10,,,,Anchorage
1949-11,,,,Anchorage
1949-12,,,,Anchorage
1950-01,,,,Anchorage
1950-02,,,,Anchorage
1950-03,,,,Anchorage
1950-04,,,,Anchorage
1950-05,,,,Anchorage
1950-06,,,,Anchorage
1950-07,,,,Anchorage
1950-08,,,,Anchorage
1950-09,,,,Anchorage
1950-10,,,,Anchorage
1950-11,,,,Anchorage
1950-12,,,,Anchorage
1951-01,,,,Anchorage
1951-02,,,,Anchorage
1951-03,,,,Anchorage
1951-04,,,,Anchorage
1951-05,,,,Anchorage
1951-06,,,,Anchorage
1951-07,,,,Anchorage
1951-08,,,,Anchorage
1951-09,,,,Anchorage
1951-10,,,,Anchorage
1951-11,,,,Anchorage
1951-12,,,,Anchorage
1952-01,,,,Anchorage
1952-02,,,,Anchorage
1952-03,,,,Anchorage
1952-04,0.44,32.04,,Anchorage
1952-05,0.34,44.38,,Anchorage
1952-06,0.02,52.3,,Anchorage
1952-07,2.72,56.76,,Anchorage
1952-08,3.86,55.79,,Anchorage
1952-09,2.66,46.1,,Anchorage
1952-10,3.76,38.52,,Anchorage
1952-11,1.25,32.15,,Anchorage
1952-12,,,,Anchorage
1953-01,,,,Anchorage
1953-02,0.68,25.82,2.3,Anchorage
1953-03,0.36,19.13,3.4,Anchorage
1953-04,0.08,35.42,0.3,Anchorage
1953-05,0.89,45.08,0,Anchorage
1953-06,0.12,57.63,0,Anchorage
1953-07,0.94,59.63,0,Anchorage
1953-08,4.99,55.16,0,Anchorage
1953-09,2.69,45.48,0,Anchorage
1953-10,1.27,33.6,0.4,Anchorage
1953-11,0.11,20.62,2,Anchorage
1953-12,1.11,17.94,20,Anchorage
1954-01,0.56,9.77,8.1,Anchorage
1954-02,0.18,6.62,2.5,Anchorage
1954-03,0.97,22.37,14.9,Anchorage
1954-04,0.03,33.25,0.7,Anchorage
1954-05,0.15,48.42,0,Anchorage
1954-06,0.91,54.67,0,Anchorage
1954-07,2.08,57.85,0,Anchorage
1954-08,2.13,56.11,0,Anchorage
1954-09,1.66,48.47,0,Anchorage
1954-10,2.02,39.77,8.7,Anchorage
1954-11,0.93,27.63,8,Anchorage
1954-12,1,6,19,Anchorage
1955-01,1.12,18.19,21.1,Anchorage
1955-02,3.07,15.36,48.5,Anchorage
1955-03,0.51,23.1,8.6,Anchorage
1955-04,1.32,31.03,18.7,Anchorage
1955-05,0.02,43.85,0,Anchorage
1955-06,1.18,51.18,,Anchorage
1955-07,1.72,57.52,0,Anchorage
1955-08,3.26,54.39,0,Anchorage
1955-09,1.27,46.25,0,Anchorage
1955-10,1.82,31.52,21.3,Anchorage
1955-11,0.59,9.38,11.8,Anchorage
1955-12,2.67,8.1,41.6,Anchorage
1956-01,0.52,5.08,5.9,Anchorage
1956-02,2.49,10.22,33.1,Anchorage
1956-03,0.28,19.55,4.6,Anchorage
1956-04,0.5,34.63,10.5,Anchorage
1956-05,0.44,43.95,0,Anchorage
1956-06,0.52,52.42,0,Anchorage
1956-07,3.07,56.31,0,Anchorage
1956-08,1.6,55.97,0,Anchorage
1956-09,2,46.05,,Anchorage
1956-10,2.19,28.37,13.4,Anchorage
1956-11,2.33,16.52,32.4,Anchorage
1956-12,0.19,4.27,2.7,Anchorage
1957-01,1.36,14.97,3.9,Anchorage
1957-02,0.67,13.46,11.8,Anchorage
1957-03,0.2,28.66,3.2,Anchorage
1957-04,0.01,37.03,,Anchorage
1957-05,0.02,48.55,0,Anchorage
1957-06,0.56,58.03,0,Anchorage
1957-07,1.64,58.13,0,Anchorage
1957-08,2.02,58.53,0,Anchorage
1957-09,3.21,49.92,,Anchorage
1957-10,0.93,38.1,,Anchorage
1957-11,1.51,32.98,5.7,Anchorage
1957-12,0.36,9.35,4.3,Anchorage
1958-01,1.05,18.53,16.3,Anchorage
1958-02,0.07,19.05,0.6,Anchorage
1958-03,0.19,28.84,2.5,Anchorage
1958-04,0.25,38.8,1,Anchorage
1958-05,1.05,47.52,0,Anchorage
1958-06,2.19,55.02,0,Anchorage
1958-07,4.44,56.37,0,Anchorage
1958-08,1.67,55.42,0,Anchorage
1958-09,1.31,46.4,,Anchorage
1958-10,1.93,29.48,4.4,Anchorage
1958-11,1.41,19.45,24.3,Anchorage
1958-12,0.54,15.42,10.8,Anchorage
1959-01,0.27,10.08,6.5,Anchorage
1959-02,0.95,20.8,13.7,Anchorage
1959-03,0.85,13.98,26.1,Anchorage
1959-04,1.32,33.65,8.7,Anchorage
1959-05,0.49,47.61,0,Anchorage
1959-06,0.26,56.57,0,Anchorage
1959-07,4.43,55.66,0,Anchorage
1959-08,3.11,55.81,0,Anchorage
1959-09,1.42,47.65,0,Anchorage
1959-10,1.12,32.52,7.1,Anchorage
1959-11,0.67,23.35,11.7,Anchorage
1959-12,1.34,18.02,31.2,Anchorage
1960-01,0.72,16.97,14.2,Anchorage
1960-02,0.45,22.66,8.5,Anchorage
1960-03,0.22,20.95,5.1,Anchorage
1960-04,0.27,34.05,3.5,Anchorage
1960-05,0.44,49.11,0,Anchorage
1960-06,0.26,55.08,0,Anchorage
1960-07,2.71,57.6,0,Anchorage
1960-08,2.7,55.23,0,Anchorage
1960-09,4.79,47.03,,Anchorage
1960-10,0.35,36.98,0.5,Anchorage
1960-11,0.56,22.48,9.6,Anchorage
1960-12,1.04,25.24,4.9,Anchorage
1961-01,1.51,20.92,1.7,Anchorage
1961-02,0.46,17.84,9.6,Anchorage
1961-03,0.34,16.27,5.8,Anchorage
1961-04,1.38,35.98,6.4,Anchorage
1961-05,0.47,47.82,0,Anchorage
1961-06,1.12,54.92,0,Anchorage
1961-07,2.22,57.68,0,Anchorage
1961-08,1.94,54.53,0,Anchorage
1961-09,5.43,48.47,0,Anchorage
1961-10,2.81,28.9,18.5,Anchorage
1961-11,0.64,16.43,13.9,Anchorage
1961-12,0.95,4.16,11,Anchorage
1962-01,0.88,13.4,12.1,Anchorage
1962-02,0.74,19.48,1.4,Anchorage
1962-03,0.58,19.84,14.2,Anchorage
1962-04,0.25,36.83,3,Anchorage
1962-05,1.52,44.68,0,Anchorage
1962-06,3.4,53.5,0,Anchorage
1962-07,0.72,58.44,0,Anchorage
1962-08,1.92,56.79,0,Anchorage
1962-09,1.45,45.57,0,Anchorage
1962-10,1.56,37.74,3,Anchorage
1962-11,0.49,22.27,3,Anchorage
1962-12,1.06,16.52,4.9,Anchorage
1963-01,2.09,19.21,15.5,Anchorage
1963-02,1.35,23.43,19.8,Anchorage
1963-03,1.48,23.98,11.4,Anchorage
1963-04,1.78,31.87,27.6,Anchorage
1963-05,0.44,46.81,3.9,Anchorage
1963-06,1.82,51.58,0,Anchorage
1963-07,2.75,58.56,0,Anchorage
1963-08,2.8,56.95,0,Anchorage
1963-09,0.98,51.93,0,Anchorage
1963-10,1.01,36.79,4,Anchorage
1963-11,0.12,12.1,2.6,Anchorage
1963-12,1.49,24.79,9.8,Anchorage
1964-01,0.35,14.02,7.6,Anchorage
1964-02,1.15,20.07,17.9,Anchorage
1964-03,1.07,17.23,15.1,Anchorage
1964-04,0.89,33.63,6.8,Anchorage
1964-05,0.97,41.11,0.4,Anchorage
1964-06,1.73,55.92,0,Anchorage
1964-07,1.08,57.05,0,Anchorage
1964-08,2.16,54.6,0,Anchorage
1964-09,0.83,48.62,0,Anchorage
1964-10,2.31,34.97,10.6,Anchorage
1964-11,2.71,21.28,25.8,Anchorage
1964-12,0.64,1.02,16.2,Anchorage
1965-01,0.57,9.98,8.5,Anchorage
1965-02,0.67,10.25,11.5,Anchorage
1965-03,0.83,36.47,3,Anchorage
1965-04,0.3,39.65,2.8,Anchorage
1965-05,0.51,45.44,0.2,Anchorage
1965-06,0.96,52.85,0,Anchorage
1965-07,1.74,58.98,0,Anchorage
1965-08,1.58,56.32,0,Anchorage
1965-09,4.6,53.62,4.6,Anchorage
1965-10,1.44,30.68,16.7,Anchorage
1965-11,1.86,20.5,17.9,Anchorage
1965-12,1.44,13.1,23.9,Anchorage
1966-01,0.63,9.63,9.7,Anchorage
1966-02,0.8,14.71,10.7,Anchorage
1966-03,0.44,16.65,5.2,Anchorage
1966-04,0.7,35.3,6.1,Anchorage
1966-05,0.75,44.13,,Anchorage
1966-06,0.27,55.32,0,Anchorage
1966-07,0.71,57.85,0,Anchorage
1966-08,2.47,54.42,0,Anchorage
1966-09,2.45,46.32,0,Anchorage
1966-10,0.86,32.26,1.9,Anchorage
1966-11,1.11,17.5,13.5,Anchorage
1966-12,1.06,10.82,13.4,Anchorage
1967-01,1.25,7.06,16.7,Anchorage
1967-02,1.01,14.3,16.3,Anchorage
1967-03,0.98,23.15,8.8,Anchorage
1967-04,0.49,35.08,4,Anchorage
1967-05,1.07,47.13,0,Anchorage
1967-06,1.44,56.13,0,Anchorage
1967-07,2.47,59.26,0,Anchorage
1967-08,2.96,58.26,0,Anchorage
1967-09,2.86,48.03,0,Anchorage
1967-10,0.51,35.68,4.8,Anchorage
1967-11,1.72,30,2.5,Anchorage
1967-12,2.4,15.97,26.5,Anchorage
1968-01,0.83,12.44,7.3,Anchorage
1968-02,1.67,23.07,26.1,Anchorage
1968-03,0.29,28.37,3.2,Anchorage
1968-04,0.85,34.95,7.8,Anchorage
1968-05,1.6,48.24,,Anchorage
1968-06,0.62,54.72,0,Anchorage
1968-07,1.34,59.89,0,Anchorage
1968-08,0.69,58.19,0,Anchorage
1968-09,1.05,47.08,1.3,Anchorage
1968-10,1.61,33.06,15.1,Anchorage
1968-11,1.08,22.07,14.7,Anchorage
1968-12,0.45,6.27,7.9,Anchorage
1969-01,0.28,4.56,6.5,Anchorage
1969-02,0.73,17.91,10.6,Anchorage
1969-03,0.1,28.55,1.1,Anchorage
1969-04,,39.42,,Anchorage
1969-05,0.86,47.69,0,Anchorage
1969-06,0.18,57.68,0,Anchorage
1969-07,2.14,59.32,0,Anchorage
1969-08,0.33,54.18,0,Anchorage
1969-09,0.78,48.87,0,Anchorage
1969-10,0.9,41.11,0.2,Anchorage
1969-11,0.84,23.62,2.6,Anchorage
1969-12,0.94,28.37,8.7,Anchorage
1970-01,0.86,9.18,16.1,Anchorage
1970-02,0.57,29.59,8.7,Anchorage
1970-03,0.29,35.4,1.4,Anchorage
1970-04,0.27,36.38,4.1,Anchorage
1970-05,0.43,48.11,0,Anchorage
1970-06,0.85,54.75,0,Anchorage
1970-07,2.03,57.05,0,Anchorage
1970-08,2.23,54.61,0,Anchorage
1970-09,1.11,46.38,,Anchorage
1970-10,1.62,32.5,4.2,Anchorage
1970-11,1.21,24.85,4.2,Anchorage
1970-12,1.62,14.89,11.2,Anchorage
1971-01,0.24,2.68,1.2,Anchorage
1971-02,1.49,20.55,18.5,Anchorage
